,Subscription Premium Cancel,difference of days,difference of months,month had passed,10 days had passed
6,0,42,1,1,1
76,0,2,0,0,0
128,0,57,1,1,1
141,0,0,0,0,0
172,1,0,0,0,0
185,0,15,0,0,1
224,0,61,2,1,1
248,0,2,0,0,0
403,0,39,1,1,1
415,0,31,1,1,1
421,0,14,0,0,1
461,0,77,2,1,1
467,0,22,0,0,1
501,1,1,0,0,0
511,0,2,0,0,0
578,0,0,0,0,0
715,0,14,0,0,1
759,1,0,0,0,0
772,0,34,1,1,1
842,1,17,0,0,1
862,0,0,0,0,0
900,0,86,2,1,1
924,0,8,0,0,0
993,1,0,0,0,0
1035,1,0,0,0,0
1070,0,28,0,0,1
1080,0,30,1,1,1
1085,0,28,0,0,1
1155,0,0,0,0,0
1232,0,71,2,1,1
1326,0,44,1,1,1
1345,0,43,1,1,1
1413,0,8,0,0,0
1448,0,0,0,0,0
1510,0,7,0,0,0
1562,0,0,0,0,0
1589,1,0,0,0,0
1619,0,1,0,0,0
1625,0,18,0,0,1
1661,0,50,1,1,1
1711,0,57,1,1,1
1719,0,16,0,0,1
1726,0,26,0,0,1
1752,0,5,0,0,0
1764,0,7,0,0,0
1800,0,51,1,1,1
1821,0,1,0,0,0
1844,0,4,0,0,0
1868,0,23,0,0,1
1885,0,80,2,1,1
1974,1,22,0,0,1
2004,0,4,0,0,0
2157,0,31,1,1,1
2180,0,31,1,1,1
2215,0,17,0,0,1
2236,0,50,1,1,1
2240,0,47,1,1,1
2252,0,12,0,0,1
2263,0,3,0,0,0
2273,0,86,2,1,1
2277,0,14,0,0,1
2313,1,0,0,0,0
2333,0,1,0,0,0
2431,0,19,0,0,1
2463,0,15,0,0,1
2479,0,6,0,0,0
2487,0,0,0,0,0
2591,1,0,0,0,0
2612,0,31,1,1,1
2623,1,24,0,0,1
2642,1,1,0,0,0
2660,0,87,2,1,1
2682,0,8,0,0,0
2706,0,19,0,0,1
2760,0,3,0,0,0
2827,0,5,0,0,0
2843,0,66,2,1,1
2851,0,2,0,0,0
2870,1,0,0,0,0
2883,0,36,1,1,1
2912,0,2,0,0,0
3069,0,0,0,0,0
3098,0,55,1,1,1
3109,0,23,0,0,1
3146,0,48,1,1,1
3186,0,26,0,0,1
3190,1,0,0,0,0
3227,0,0,0,0,0
3242,1,2,0,0,0
3280,0,59,1,1,1
3325,0,11,0,0,1
3356,0,31,1,1,1
3362,0,20,0,0,1
3373,0,14,0,0,1
3387,0,19,0,0,1
3397,0,60,2,1,1
3404,0,90,3,1,1
3413,0,0,0,0,0
3433,0,15,0,0,1
3446,0,0,0,0,0
3654,0,24,0,0,1
3661,1,24,0,0,1
3692,0,59,1,1,1
3730,0,62,2,1,1
3744,0,0,0,0,0
3814,0,9,0,0,0
3821,0,13,0,0,1
3842,1,22,0,0,1
3852,1,0,0,0,0
3873,0,3,0,0,0
3901,0,0,0,0,0
3919,0,66,2,1,1
3963,0,19,0,0,1
3977,1,9,0,0,0
4045,0,19,0,0,1
4064,0,7,0,0,0
4108,1,0,0,0,0
4150,1,0,0,0,0
4166,1,13,0,0,1
4184,0,31,1,1,1
4259,0,18,0,0,1
4265,0,14,0,0,1
4311,0,4,0,0,0
4321,1,30,1,1,1
4349,0,21,0,0,1
4368,0,32,1,1,1
4374,1,0,0,0,0
4408,0,4,0,0,0
4492,1,0,0,0,0
4523,0,4,0,0,0
4594,1,0,0,0,0
4710,0,6,0,0,0
4718,0,15,0,0,1
4759,0,13,0,0,1
4800,0,5,0,0,0
4841,1,0,0,0,0
4866,0,34,1,1,1
4931,0,27,0,0,1
4953,0,15,0,0,1
4975,0,0,0,0,0
5086,0,25,0,0,1
5133,1,1,0,0,0
5144,0,46,1,1,1
5153,1,0,0,0,0
5258,0,31,1,1,1
5270,1,5,0,0,0
5294,0,47,1,1,1
5303,0,27,0,0,1
5310,0,24,0,0,1
5322,0,0,0,0,0
5433,0,58,1,1,1
5443,0,15,0,0,1
5457,0,3,0,0,0
5469,0,1,0,0,0
5518,0,5,0,0,0
5551,1,0,0,0,0
5567,0,6,0,0,0
5603,1,0,0,0,0
5653,0,39,1,1,1
5683,0,2,0,0,0
5701,0,0,0,0,0
5768,0,11,0,0,1
5792,0,68,2,1,1
5802,1,17,0,0,1
5839,0,5,0,0,0
5882,0,0,0,0,0
5922,0,13,0,0,1
5937,0,44,1,1,1
5956,0,86,2,1,1
5962,1,26,0,0,1
5979,0,31,1,1,1
6005,0,6,0,0,0
6010,1,0,0,-1,0
6049,0,39,1,1,1
6074,0,26,0,0,1
6112,0,5,0,0,0
6121,0,31,1,1,1
6130,0,5,0,0,0
6156,1,22,0,0,1
6237,0,41,1,1,1
6272,0,38,1,1,1
6331,1,9,0,0,0
6389,0,0,0,0,0
6900,1,0,0,0,0
6938,1,2,0,0,0
7061,0,1,0,0,0
7199,1,29,0,0,1
7214,1,19,0,0,1
7256,0,46,1,1,1
7270,0,25,0,0,1
7279,0,19,0,0,1
7288,0,1,0,0,0
7311,0,88,2,1,1
7323,0,1,0,0,0
7507,0,48,1,1,1
7533,1,0,0,0,0
7542,1,0,0,0,0
7579,0,6,0,0,0
7633,0,2,0,0,0
7651,0,1,0,0,0
7723,0,30,1,1,1
7729,0,7,0,0,0
7736,0,16,0,0,1
7805,0,30,1,1,1
7829,0,86,2,1,1
7835,0,21,0,0,1
7855,0,11,0,0,1
7873,1,0,0,0,0
7900,1,2,0,0,0
7949,1,0,0,0,0
8000,1,0,0,0,0
8037,0,53,1,1,1
8060,0,40,1,1,1
8075,0,1,0,0,0
8084,0,42,1,1,1
8089,1,22,0,0,1
8107,0,23,0,0,1
8112,0,55,1,1,1
8131,0,33,1,1,1
8144,0,2,0,0,0
8162,0,38,1,1,1
8170,0,13,0,0,1
8176,0,4,0,0,0
8215,1,49,1,1,1
8280,0,0,0,0,0
8357,1,0,0,0,0
8394,0,30,1,1,1
8411,0,60,2,1,1
8472,0,1,0,0,0
8494,0,42,1,1,1
8501,0,14,0,0,1
8513,0,0,0,0,0
8553,0,20,0,0,1
8571,1,0,0,0,0
8609,0,7,0,0,0
8657,0,0,0,0,0
8701,0,4,0,0,0
8821,0,59,1,1,1
8830,0,10,0,0,0
8858,0,40,1,1,1
8863,0,56,1,1,1
8874,1,29,0,0,1
8899,0,82,2,1,1
8907,0,0,0,0,0
8915,0,0,0,0,0
8946,0,44,1,1,1
8993,0,63,2,1,1
9000,0,7,0,0,0
9034,1,0,0,0,0
9054,1,0,0,0,0
9090,1,0,0,0,0
9154,0,28,0,0,1
9161,1,0,0,0,0
9177,0,3,0,0,0
9209,0,31,1,1,1
9228,1,29,0,0,1
9244,0,82,2,1,1
9280,1,0,0,0,0
9300,0,3,0,0,0
9328,1,2,0,0,0
9352,1,3,0,0,0
9409,0,38,1,1,1
9425,1,0,0,0,0
9476,0,2,0,0,0
9483,0,12,0,0,1
9495,0,4,0,0,0
9507,0,36,1,1,1
9521,1,23,0,0,1
9573,0,18,0,0,1
9602,0,25,0,0,1
9632,0,1,0,0,0
9709,1,0,0,0,0
9724,1,0,0,0,0
9857,0,19,0,0,1
9866,0,24,0,0,1
9888,0,0,0,0,0
10130,0,0,0,0,0
10250,0,1,0,0,0
10266,0,3,0,0,0
10275,0,6,0,0,0
10317,0,0,0,0,0
10343,0,29,0,0,1
10359,0,23,0,0,1
10366,0,2,0,0,0
10489,0,50,1,1,1
10613,0,18,0,0,1
10618,0,0,0,0,0
10824,0,50,1,1,1
10840,0,82,2,1,1
10846,0,1,0,0,0
10852,1,0,0,0,0
10859,0,10,0,0,0
10928,0,19,0,0,1
10968,0,17,0,0,1
10981,0,0,0,0,0
11099,0,8,0,0,0
11185,0,23,0,0,1
11248,0,3,0,0,0
11266,0,30,1,1,1
11281,0,55,1,1,1
11289,1,0,0,0,0
11356,0,1,0,0,0
11405,0,7,0,0,0
11423,1,1,0,0,0
11474,0,15,0,0,1
11491,0,1,0,0,0
11512,1,0,0,0,0
11543,1,4,0,0,0
11580,1,0,0,-1,0
11599,0,5,0,0,0
11604,0,50,1,1,1
11614,0,5,0,0,0
11629,1,6,0,0,0
11684,0,63,2,1,1
11817,1,9,0,0,0
11850,0,90,3,1,1
11854,0,0,0,0,0
11948,0,22,0,0,1
11957,0,14,0,0,1
12004,0,24,0,0,1
12038,0,82,2,1,1
12042,1,0,0,-1,0
12069,0,5,0,0,0
12088,1,7,0,0,0
12121,0,29,0,0,1
12129,0,2,0,0,0
12168,0,52,1,1,1
12232,0,1,0,0,0
12292,0,0,0,0,0
12323,0,17,0,0,1
12367,0,28,0,0,1
12409,0,10,0,0,0
12419,0,24,0,0,1
12428,0,45,1,1,1
12430,0,0,0,0,0
12487,1,1,0,0,0
12505,0,16,0,0,1
12523,0,3,0,0,0
12540,0,9,0,0,0
12604,0,10,0,0,0
12659,0,2,0,0,0
12707,0,29,0,0,1
12743,0,9,0,0,0
12749,0,27,0,0,1
12763,0,7,0,0,0
12818,0,5,0,0,0
12834,0,0,0,0,0
12843,0,6,0,0,0
12859,0,2,0,0,0
12866,0,17,0,0,1
12880,0,4,0,0,0
12890,0,6,0,0,0
12912,1,51,1,1,1
12914,1,0,0,0,0
12943,0,6,0,0,0
12993,1,0,0,0,0
13011,0,36,1,1,1
13035,1,3,0,0,0
13055,0,10,0,0,0
13129,1,32,1,1,1
13146,1,33,1,1,1
13163,1,0,0,0,0
13215,1,0,0,0,0
13237,0,1,0,0,0
13290,0,19,0,0,1
13315,0,6,0,0,0
13330,0,2,0,0,0
13342,0,0,0,0,0
13373,0,18,0,0,1
13402,0,83,2,1,1
13444,0,4,0,0,0
13518,0,19,0,0,1
13532,0,43,1,1,1
13583,1,30,1,1,1
13642,0,6,0,0,0
13657,1,0,0,0,0
13693,0,34,1,1,1
13700,0,39,1,1,1
13733,0,0,0,0,0
13754,0,6,0,0,0
13760,0,7,0,0,0
13783,0,36,1,1,1
13803,0,13,0,0,1
13817,0,16,0,0,1
13865,0,28,0,0,1
14090,0,40,1,1,1
14097,0,2,0,0,0
14142,0,18,0,0,1
14168,0,41,1,1,1
14178,0,48,1,1,1
14189,0,10,0,0,0
14202,0,19,0,0,1
14219,0,32,1,1,1
14317,0,72,2,1,1
14334,0,46,1,1,1
14345,0,47,1,1,1
14354,1,0,0,0,0
14367,0,8,0,0,0
14379,0,15,0,0,1
14387,1,0,0,0,0
14397,0,5,0,0,0
14454,1,1,0,0,0
14501,0,46,1,1,1
14530,1,0,0,0,0
14545,0,47,1,1,1
14563,0,1,0,0,0
14583,0,4,0,0,0
14625,0,21,0,0,1
14645,0,86,2,1,1
14678,0,85,2,1,1
14700,0,4,0,0,0
14719,1,2,0,0,0
14728,0,31,1,1,1
14751,0,25,0,0,1
14765,0,17,0,0,1
14829,0,24,0,0,1
15109,0,14,0,0,1
15150,1,0,0,0,0
15198,0,39,1,1,1
15206,0,31,1,1,1
15249,0,20,0,0,1
15258,0,6,0,0,0
15282,1,0,0,-1,0
15332,0,47,1,1,1
15339,0,34,1,1,1
15411,0,3,0,0,0
15417,0,21,0,0,1
15425,0,7,0,0,0
15435,0,0,0,0,0
15465,1,27,0,0,1
15606,0,31,1,1,1
15646,1,1,0,0,0
15667,0,6,0,0,0
15685,0,0,0,0,0
15716,0,8,0,0,0
15785,0,8,0,0,0
15803,0,30,1,1,1
15813,0,12,0,0,1
15818,1,1,0,0,0
15846,0,6,0,0,0
15859,1,0,0,0,0
15879,0,9,0,0,0
15892,0,6,0,0,0
15912,0,75,2,1,1
15967,0,44,1,1,1
15986,0,87,2,1,1
15998,0,15,0,0,1
16005,0,57,1,1,1
16044,1,0,0,0,0
16064,1,5,0,0,0
16108,0,15,0,0,1
16125,0,2,0,0,0
16138,0,59,1,1,1
16142,0,35,1,1,1
16164,0,23,0,0,1
16170,0,6,0,0,0
16182,0,32,1,1,1
16190,1,0,0,0,0
16211,0,11,0,0,1
16223,1,18,0,0,1
16263,0,31,1,1,1
16282,0,2,0,0,0
16471,0,16,0,0,1
16481,1,0,0,0,0
16510,0,27,0,0,1
16522,0,24,0,0,1
16539,0,11,0,0,1
16562,0,5,0,0,0
16598,0,36,1,1,1
16606,0,8,0,0,0
16658,0,15,0,0,1
16692,0,36,1,1,1
16770,1,0,0,0,0
16783,0,54,1,1,1
16847,0,17,0,0,1
16870,0,72,2,1,1
